"composite_ticker","focus"
"ANGL","High Yield"
"FALN","High Yield"
"HYG","High Yield"
"HYLB","High Yield"
"HYS","High Yield"
"IGIB","Investment Grade"
"IGSB","Investment Grade"
"ISTB","Investment Grade"
"JNK","High Yield"
"JPHY","High Yield"
"LQD","Investment Grade"
"SHYG","High Yield"
"SJNK","High Yield"
"SPIB","Investment Grade"
"SPSB","Investment Grade"
"USHY","High Yield"
"USIG","Investment Grade"
"VCIT","Investment Grade"
"VCLT","Investment Grade"
"VCSH","Investment Grade"
